report_id,source_file,included,exclusion_reason,duplicate_of,schema,timestamp,attacker,defender,winner,turns,turns_min,turns_max,assumptions,warnings
NanoMart_100_NoHero,wos_sim/data/experiments/NanoMart_100_NoHero.json,True,,,nanomart_nohero_ladder,2026-07-09 21:30:45,100 T6 Infantry,200 T6 Infantry,defender,,,,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_100_SeoYoonlvl1,wos_sim/data/experiments/NanoMart_100_SeoYoonlvl1.json,True,,,nanomart_seoyoon_ladder,2026-07-09 22:28:19,100 T6 Infantry,200 T6 Infantry,defender,,,,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_100_SeoYoonlvl2,wos_sim/data/experiments/NanoMart_100_SeoYoonlvl2.json,True,,,nanomart_seoyoon_ladder,2026-07-09 22:38:50,100 T6 Infantry,200 T6 Infantry,defender,,,,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_100_SeoYoonlvl3,wos_sim/data/experiments/NanoMart_100_SeoYoonlvl3.json,True,,,nanomart_seoyoon_ladder,2026-07-09 23:26:26,100 T6 Infantry,200 T6 Infantry,defender,,,,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_100_SeoYoonlvl3_Vulcanus,wos_sim/data/experiments/NanoMart_100_SeoYoonlvl3_Vulcanus.json,True,,,nanomart_seoyoon_ladder,2026-07-09 23:41:48,100 T6 Infantry,200 T6 Infantry,defender,,210,210,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_100_Vulcanus,wos_sim/data/experiments/NanoMart_100_Vulcanus.json,True,,,nanomart_vulcanus_ladder,2026-07-09 20:46:38,100 T6 Infantry,200 T6 Infantry,defender,,205,207,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_1v1_T1InfvT1Inf_SeoYoonlvl3_Vulcanus,wos_sim/data/experiments/NanoMart_1v1_T1InfvT1Inf_SeoYoonlvl3_Vulcanus.json,True,,,nanomart_exp1_1v1_report,2026-07-10 13:10:51,1 T1 Infantry,1 T1 Infantry,attacker,264,264,264,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_1v1_T1InfvT1Lan_SeoYoonlvl3_Vulcanus,wos_sim/data/experiments/NanoMart_1v1_T1InfvT1Lan_SeoYoonlvl3_Vulcanus.json,True,,,nanomart_1v1_skill_clock,2026-07-10 02:22:28,1 T1 Infantry,1 T1 Lancer,attacker,80,79,81,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_1v1_T1InfvT1MM_SeoYoonlvl3_Vulcanus,wos_sim/data/experiments/NanoMart_1v1_T1InfvT1MM_SeoYoonlvl3_Vulcanus.json,True,,,nanomart_exp1_1v1_report,2026-07-10 14:29:23,1 T1 Infantry,1 T1 Marksman,defender,8,7,9,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
NanoMart_1v1_T1InfvT6Inf_SeoYoonlvl3_Vulcanus,wos_sim/data/experiments/NanoMart_1v1_T1InfvT6Inf_SeoYoonlvl3_Vulcanus.json,True,,,nanomart_exp1_1v1_report,2026-07-10 13:07:19,1 T1 Infantry,1 T6 Infantry,defender,68,67,69,Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Lethality panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report | Health panel set to 0% from Martin's NanoMart/MiniMart chief-level confirmation; field is not visible in this report,
