id,folder,instrument,matchup,N_vs_N,observed,actual_winner,attacker_clock,defender_clock,predicted_winner,predicted,actual_branch_predicted,pcterr,abs_pcterr,band_edge_pcterr,time_result,winner_classification,clock_gap_pct,alpaca_bound_branch,domain_class,verdict,flags,arithmetic
AlpacaMueller_21v1_FC1T6MMvT1Inf_NoAttackerHero_Gatotlvl1_20260712_194705,AlpacaGatot_FC1_T6_LanMM,gatot_threshold,MMT6x21[] vs InfT1x1[gatot],21v1,1500,defender,capped,3149.666420,defender,3149.666420,3149.666420,,,,CAPPED_CORRECT,CORRECT,inf,N/A,out_capped_stalemate,PASS,G_w_bounded_marksman;gatot_budget;gatot_budget_Mueller,attacker clock [Gatot-B: gross=21*9.26936=194.657; net=gross-201.95=0; pool=290.11; capped; target_count=1; total=capped]; defender clock [plain: 73.16*(18.62*16.03)*1/(5.81*2.12*1)*1*0.0846/sqrt(1)=149.984; target_count=21; total=3149.666420]
AlpacaMueller_22v1_FC1T6MMvT1Inf_NoAttackerHero_Gatotlvl1_20260712_194558,AlpacaGatot_FC1_T6_LanMM,gatot_gate,MMT6x22[] vs InfT1x1[gatot],22v1,147,attacker,146.824145,3299.650535,attacker,146.824145,146.824145,-0.119629,0.119629,-0.119629,CEIL_HIT,CORRECT,2147.348715,N/A,in_gatot_budget,PASS,G_w_bounded_marksman;gatot_budget;gatot_budget_Mueller,attacker clock [Gatot-B: gross=22*9.26936=203.926; net=gross-201.95=1.9759; pool=290.11; t=146.824; target_count=1; total=146.824145]; defender clock [plain: 73.16*(18.62*16.03)*1/(5.81*2.12*1)*1*0.0846/sqrt(1)=149.984; target_count=22; total=3299.650535]
AlpacaMueller_40v1_FC1T6LanvT1Inf_NoAttackerHero_Gatotlvl1_20260712_unknown,AlpacaGatot_FC1_T6_LanMM,gatot_threshold,LanT6x40[] vs InfT1x1[gatot],40v1,1500,defender,capped,18785.556223,defender,18785.556223,18785.556223,,,,CAPPED_CORRECT,CORRECT,inf,N/A,out_capped_stalemate,PASS,G_l_fallback_infantry;factorized_K;gatot_K_LanInf_implied_with_Gw;gatot_budget;gatot_budget_Mueller,attacker clock [Gatot-B: gross=40*4.95239=198.096; net=gross-201.95=0; pool=290.11; capped; target_count=1; total=capped]; defender clock [plain: 22.43*(21.04*16.387)*1/(5.81*2.12*1)*1*0.748/sqrt(1)=469.639; target_count=40; total=18785.556223]
AlpacaMueller_41v1_FC1T6LanvT1Inf_NoAttackerHero_Gatotlvl1_20260712_200204,AlpacaGatot_FC1_T6_LanMM,gatot_gate,LanT6x41[] vs InfT1x1[gatot],41v1,286,attacker,264.240323,19255.195129,attacker,264.240323,264.240323,-7.608279,7.608279,-7.608279,WITHIN_10PCT,CORRECT,7187.001065,N/A,in_gatot_budget,PASS,G_l_fallback_infantry;factorized_K;gatot_K_LanInf_implied_with_Gw;gatot_budget;gatot_budget_Mueller,attacker clock [Gatot-B: gross=41*4.95239=203.048; net=gross-201.95=1.0979; pool=290.11; t=264.24; target_count=1; total=264.240323]; defender clock [plain: 22.43*(21.04*16.387)*1/(5.81*2.12*1)*1*0.748/sqrt(1)=469.639; target_count=41; total=19255.195129]
ENIF1b_R01_MuellerGordon_T1Inf_v_AlpacaFC1T1MM_20260717_004328,ENIF,exact_1v1,InfT1x1[gordon] vs MMT1x1[],1v1,"[69,71]",attacker,66.448796,75.418071,attacker,66.448796,66.448796,-5.073149,5.073149,-3.697397,WITHIN_10PCT,CORRECT,13.498024,N/A,in_exact_duel,PASS,,attacker clock [plain: 73.16*(2.66*2.29)*1/(3.021*2.22*1)*1*1/sqrt(1)=66.4488; target_count=1; total=66.448796]; defender clock [plain: 90.11*(12.108*13.122)*1/(13.81*13.746*1)*1*1/sqrt(1)=75.4181; target_count=1; total=75.418071]
ENIF1b_R02_MuellerGordon_T1Inf_v_AlpacaFC1T1MM_20260717_004437,ENIF,exact_1v1,InfT1x1[gordon] vs MMT1x1[],1v1,"[66,67]",defender,75.317365,66.501146,defender,66.501146,66.501146,0.001723,0.001723,0.000000,CEIL_HIT,CORRECT,13.257244,N/A,in_exact_duel,PASS,,attacker clock [plain: 73.16*(2.66*2.29)*1/(2.791*2.12*1)*1*1/sqrt(1)=75.3174; target_count=1; total=75.317365]; defender clock [plain: 90.11*(11.188*12.522)*1/(13.81*13.746*1)*1*1/sqrt(1)=66.5011; target_count=1; total=66.501146]
ENIF1b_R03_MuellerGordon_T1Inf_v_AlpacaFC1T1MM_20260717_004607,ENIF,exact_1v1,InfT1x1[gordon] vs MMT1x2[],1v2,"[52,53]",defender,132.897592,53.328629,defender,53.328629,53.328629,1.578341,1.578341,0.620055,WITHIN_10PCT,CORRECT,149.204966,N/A,in_exact_duel,PASS,,attacker clock [plain: 73.16*(2.66*2.29)*1/(3.021*2.22*1)*1*1/sqrt(1)=66.4488; target_count=2; total=132.897592]; defender clock [plain: 90.11*(12.108*13.122)*1/(13.81*13.746*1)*1*1/sqrt(2)=53.3286; target_count=1; total=53.328629]
ENIF1b_R04_MuellerGordon_T1Inf_v_AlpacaFC1T1MM_20260717_004622,ENIF,exact_1v1,InfT1x1[gordon] vs MMT1x1[],1v1,"[69,71]",attacker,66.448796,75.418071,attacker,66.448796,66.448796,-5.073149,5.073149,-3.697397,WITHIN_10PCT,CORRECT,13.498024,N/A,in_exact_duel,PASS,,attacker clock [plain: 73.16*(2.66*2.29)*1/(3.021*2.22*1)*1*1/sqrt(1)=66.4488; target_count=1; total=66.448796]; defender clock [plain: 90.11*(12.108*13.122)*1/(13.81*13.746*1)*1*1/sqrt(1)=75.4181; target_count=1; total=75.418071]
ENIF2_R05_AlpacaFC1T1MM_v_MuellerT1InfGatot_20260717_004906,ENIF,exact_1v1,MMT1x1[] vs InfT1x1[gatot],1v1,38,defender,capped,36.180855,defender,36.180855,36.180855,-4.787224,4.787224,-4.787224,WITHIN_10PCT,CORRECT,inf,N/A,in_exact_duel,PASS,gatot_budget;gatot_budget_Mueller,attacker clock [Gatot-B: gross=1*2.10667=2.10667; net=gross-201.95=0; pool=291.362; capped; target_count=1; total=capped]; defender clock [plain: 73.16*(2.66*2.29)*1/(5.81*2.12*1)*1*1/sqrt(1)=36.1809; target_count=1; total=36.180855]
ENIF2_R06_AlpacaFC1T3MM_v_MuellerT1InfGatot_20260717_004958,ENIF,exact_1v1,MMT3x1[] vs InfT1x1[gatot],1v1,81,defender,capped,81.016170,defender,81.016170,81.016170,0.019963,0.019963,0.019963,WITHIN_10PCT,CORRECT,inf,N/A,in_exact_duel,PASS,G_w_bounded_marksman;gatot_budget;gatot_budget_Mueller,attacker clock [Gatot-B: gross=1*5.05601=5.05601; net=gross-201.95=0; pool=291.362; capped; target_count=1; total=capped]; defender clock [plain: 73.16*(7.98*6.87)*1/(5.81*2.12*1)*1*0.2488/sqrt(1)=81.0162; target_count=1; total=81.016170]
