id,folder,instrument,matchup,N_vs_N,observed,actual_winner,predicted,predicted_ceil,predicted_winner,pcterr,abs_pcterr,domain_class,verdict,flags,arithmetic
AlpacaMueller_21v1_FC1T6MMvT1Inf_NoAttackerHero_Gatotlvl1_20260712_194705,AlpacaGatot_FC1_T6_LanMM,gatot_threshold,MMT6x21 -> InfT1x1,21v1,1500,defender,capped,1500+,defender,,,out_capped_stalemate,PASS,G_w_bounded_marksman;budget_Mueller_Gatot_S123_L1;gatot_budget;capped_check,att->def [Gatot-B: pool=23.168*12.522=290.11; r=(30.382*27.492)/(90.11*1)=9.26936; net=21*r-201.95=0; capped]; def->att [t=73.16*(18.62*16.03)*1/(5.81*2.12*1)*1*0.0846/sqrt(1)=149.984]
AlpacaMueller_22v1_FC1T6MMvT1Inf_NoAttackerHero_Gatotlvl1_20260712_194558,AlpacaGatot_FC1_T6_LanMM,gatot_gate,MMT6x22 -> InfT1x1,22v1,147,attacker,146.824145,147,attacker,-0.119629,0.119629,in_gatot_budget,PASS,G_w_bounded_marksman;budget_Mueller_Gatot_S123_L1;gatot_budget;ceil_exact_or_in_band,att->def [Gatot-B: pool=23.168*12.522=290.11; r=(30.382*27.492)/(90.11*1)=9.26936; net=22*r-201.95=1.9759; t=pool/net=146.824]; def->att [t=73.16*(18.62*16.03)*1/(5.81*2.12*1)*1*0.0846/sqrt(1)=149.984]
AlpacaMueller_40v1_FC1T6LanvT1Inf_NoAttackerHero_Gatotlvl1_20260712_unknown,AlpacaGatot_FC1_T6_LanMM,gatot_threshold,LanT6x40 -> InfT1x1,40v1,1500,defender,capped,1500+,defender,,,out_capped_stalemate,PASS,G_l_fallback_infantry;budget_Mueller_Gatot_S123_L1;gatot_K_LanInf_implied;gatot_budget;capped_check,att->def [Gatot-B: pool=23.168*12.522=290.11; r=(28.27*25.905)/(91*1.625)=4.95239; net=40*r-201.95=0; capped]; def->att [t=22.43*(21.04*16.387)*1/(5.81*2.12*1)*1*0.748/sqrt(1)=469.639]
AlpacaMueller_41v1_FC1T6LanvT1Inf_NoAttackerHero_Gatotlvl1_20260712_200204,AlpacaGatot_FC1_T6_LanMM,gatot_gate,LanT6x41 -> InfT1x1,41v1,286,attacker,264.240323,265,attacker,-7.608279,7.608279,in_gatot_budget,PASS,G_l_fallback_infantry;budget_Mueller_Gatot_S123_L1;gatot_K_LanInf_implied;gatot_budget,att->def [Gatot-B: pool=23.168*12.522=290.11; r=(28.27*25.905)/(91*1.625)=4.95239; net=41*r-201.95=1.0979; t=pool/net=264.24]; def->att [t=22.43*(21.04*16.387)*1/(5.81*2.12*1)*1*0.748/sqrt(1)=469.639]
ENIF1b_R01_MuellerGordon_T1Inf_v_AlpacaFC1T1MM_20260717_004328,ENIF,exact_1v1,InfT1x1 -> MMT1x1,1v1,"[69,71]",attacker,66.448796,67,attacker,-5.073149,5.073149,in_exact_duel,PASS,,att->def [t=73.16*(2.66*2.29)*1/(3.021*2.22*1)*1*1/sqrt(1)=66.4488]; def->att [t=90.11*(12.108*13.122)*1/(13.81*13.746*1)*1*1/sqrt(1)=75.4181]
ENIF1b_R02_MuellerGordon_T1Inf_v_AlpacaFC1T1MM_20260717_004437,ENIF,exact_1v1,InfT1x1 -> MMT1x1,1v1,"[66,67]",defender,66.501146,67,defender,0.001723,0.001723,in_exact_duel,PASS,ceil_exact_or_in_band,att->def [t=73.16*(2.66*2.29)*1/(2.791*2.12*1)*1*1/sqrt(1)=75.3174]; def->att [t=90.11*(11.188*12.522)*1/(13.81*13.746*1)*1*1/sqrt(1)=66.5011]
ENIF1b_R03_MuellerGordon_T1Inf_v_AlpacaFC1T1MM_20260717_004607,ENIF,exact_1v1,InfT1x1 -> MMT1x2,1v2,"[52,53]",defender,53.328629,54,defender,1.578341,1.578341,in_exact_duel,PASS,,att->def [t=73.16*(2.66*2.29)*1/(3.021*2.22*1)*1*1/sqrt(1)=66.4488]; def->att [t=90.11*(12.108*13.122)*1/(13.81*13.746*1)*1*1/sqrt(2)=53.3286]
ENIF1b_R04_MuellerGordon_T1Inf_v_AlpacaFC1T1MM_20260717_004622,ENIF,exact_1v1,InfT1x1 -> MMT1x1,1v1,"[69,71]",attacker,66.448796,67,attacker,-5.073149,5.073149,in_exact_duel,PASS,,att->def [t=73.16*(2.66*2.29)*1/(3.021*2.22*1)*1*1/sqrt(1)=66.4488]; def->att [t=90.11*(12.108*13.122)*1/(13.81*13.746*1)*1*1/sqrt(1)=75.4181]
ENIF2_R05_AlpacaFC1T1MM_v_MuellerT1InfGatot_20260717_004906,ENIF,exact_1v1,MMT1x1 -> InfT1x1,1v1,38,defender,36.180855,37,defender,-4.787224,4.787224,in_exact_duel,PASS,budget_Mueller_Gatot_S123_L1;gatot_budget,att->def [Gatot-B: pool=23.268*12.522=291.362; r=(13.81*13.746)/(90.11*1)=2.10667; net=1*r-201.95=0; capped]; def->att [t=73.16*(2.66*2.29)*1/(5.81*2.12*1)*1*1/sqrt(1)=36.1809]
ENIF2_R06_AlpacaFC1T3MM_v_MuellerT1InfGatot_20260717_004958,ENIF,exact_1v1,MMT3x1 -> InfT1x1,1v1,81,defender,81.016170,82,defender,0.019963,0.019963,in_exact_duel,PASS,G_w_bounded_marksman;budget_Mueller_Gatot_S123_L1;gatot_budget,att->def [Gatot-B: pool=23.268*12.522=291.362; r=(22.096*20.619)/(90.11*1)=5.05601; net=1*r-201.95=0; capped]; def->att [t=73.16*(7.98*6.87)*1/(5.81*2.12*1)*1*0.2488/sqrt(1)=81.0162]
